32073,prometheus gallery,enterance,infor
32074,prometheus gallery,enterance,exhibit enterance
32075,prometheus gallery,enterance,bench
32076,prometheus gallery,exit,sitting place
32077,prometheus gallery,exit,exhibit exit
32078,prometheus gallery,exit,bench
32079,prometheus gallery,firsh exhibit place,stand exhibit
32080,prometheus gallery,firsh exhibit place,wall exhibit
32081,prometheus gallery,firsh exhibit place,sofa
32082,prometheus gallery,firsh exhibit place,chair
32083,prometheus gallery,second exhibit place,first exhibit wall
32084,prometheus gallery,second exhibit place,second exhibit wall
32085,prometheus gallery,second exhibit place,third exhibit wall
32086,prometheus gallery,second exhibit place,fourth exhibit wall
32087,prometheus gallery,second exhibit place,fifth exhibit wall
32088,prometheus gallery,second exhibit place,sixth exhibit wall
32089,prometheus gallery,second exhibit place,bean bag
32090,prometheus gallery,second exhibit place,wall exhibit
32091,prometheus gallery,third exhibit place,sofa
32092,prometheus gallery,third exhibit place,stand exhibit
32093,prometheus gallery,third exhibit place,wall exhibit
